tv_budget,social_budget,online_budget,region,is_holiday,sales
77.39560485559633,80.11840919331861,17.135682137747793,East,0,357.67817198192154
43.88784397520523,38.21986916065652,8.861775062463629,North,0,205.80471464042049
,78.78859414576547,33.90470304399141,North,0,422.8549355444111
69.73680290593639,58.70845052611901,42.300378065395435,East,0,368.81947277580366
9.417734788764953,6.300998758808166,2.0126869969961882,North,0,76.368762900727
97.5622351636756,75.13307592187005,22.48163442113403,North,0,428.6213441680075
76.1139701990353,68.99988825875552,44.62438448436632,North,0,401.7809229254302
78.60643052769538,58.30009405668339,37.480930946143374,South,0,402.9938653928719
12.811363267554587,17.54551114055569,49.59038582488141,East,0,206.96102635269682
45.038593789556714,49.13567476558231,26.570690579862188,East,0,274.7605217822647
37.07980242325812,35.1831461321417,32.99978594005756,East,0,246.7311613038879
92.67649888486018,75.91253671657424,15.124014056896407,North,0,405.2458002429079
64.38651200806646,177.80457299983038,47.37677998329961,North,1,395.865334945003
82.276161327083,66.84800657255641,18.316774427826815,South,0,373.44044960331644
44.34141988273311,47.04567815497464,36.92553563433143,North,0,268.2670842525208
22.723872178477688,1.001230509554798,20.157010205954094,North,0,160.04683593083686
55.45847870158348,43.7836332151595,28.090946503149965,North,0,269.44835862837147
6.381725610417533,-14.483653182385076,35.98912675107731,North,0,131.13583027664168
82.7631171992582,55.398041317097416,25.446707587567712,South,0,384.7773079831771
63.166439912206485,67.3300962235146,45.354316345475425,East,0,371.23439584946067
75.80877400853738,73.38930772697363,20.965049396390512,North,0,394.26772454641093
35.45259681298683,22.939904958190905,32.35358990716626,South,1,224.9361474020118
97.06980243949033,67.48429751315781,17.118121665002704,East,1,456.43974178950174
89.31211213221977,46.27000693397029,20.40783341155065,East,0,403.13049123089024
77.83834970737618,60.727642171943415,22.00250541167762,East,0,375.54658487894415
19.463870785196757,40.74844028989127,6.290350915614262,South,1,147.26640578560972
46.67210037270342,44.02012803143438,4.586183952950335,East,0,239.22249177382085
4.380376578722878,-1.8724027685804492,33.374496157337894,North,1,155.8744779027867
15.428949206754783,17.76540892074463,32.77588691715261,North,0,187.91798191698348
68.30489532424546,42.449577495664215,33.145485710504765,North,1,369.42857439676385
74.47621559078172,60.33154962518811,0.9883222671345837,South,1,337.4983858665123
,83.23310198706524,16.327342133588996,North,0,420.08237701893825
32.58253581381519,26.834148923532428,9.890492362959847,North,0,196.97340711019604
37.045970603486886,39.39713622986466,38.90757112720062,East,0,254.84942921764667
46.95558112758079,43.3586962208042,43.031520069806504,North,0,315.7538428856343
18.94713590842857,22.788325703244254,12.334018861307367,North,0,177.3858448698454
12.992150533547164,4.159605131207495,33.39245794239932,North,1,171.92985024970255
47.57049262259338,49.41307281330985,6.4681401729137225,South,0,190.6866127480873
22.69093490508841,35.57666414556506,13.757626280085667,North,0,156.9419570745473
66.98139946825104,47.23269435149926,6.932724811670976,North,1,338.91385714950025
43.715191887233075,28.280956547002518,14.176038329961461,North,0,237.84211311195642
83.26781960578374,84.13549002811851,33.736827367463896,East,0,430.98476099412767
70.0265102002249,57.60909380324056,45.51634550926262,East,1,427.94882679833523
31.236664138204105,40.58937843813906,10.126120396209298,South,0,180.74583276322576
83.2259801395201,66.31672599967025,27.10395174753596,South,0,401.5344904036312
80.47643574968019,82.95542614993528,35.06955506217162,East,0,433.9188617355579
